trace_id,C1,C2,C3,C1_sharplike,class
S7a_C,1.0,0.8392857142857143,0.9107142857142857,0.8035714285714286,C
S7a_E,1.0,0.9056603773584906,0.9622641509433962,0.9245283018867925,E
S7a_H,0.6428571428571429,0.03571428571428571,0.5892857142857143,0.32142857142857145,H
S7a_J1,0.9285714285714286,1.0,0.7142857142857143,0.8571428571428571,J
S7a_J2,1.0,1.0,0.8666666666666667,1.0,J
S7a_J3,0.8666666666666667,1.0,0.8,0.7333333333333333,J
S7a_L1,0.92,0.96,0.96,0.32,L
S7a_L2,0.84,0.84,0.88,0.44,L
S7a_R1,0.6727272727272727,0.9454545454545454,0.5454545454545454,0.7090909090909091,R
S7a_S,0.6964285714285714,0.44642857142857145,0.48214285714285715,0.017857142857142856,S
S7a_W,0.6545454545454545,0.21818181818181817,0.6545454545454545,0.6,W
