stream,split,n_traces,n_win,accuracy,macro_f1,ECE,absent
C0,P1 (5-cls),57,2717,0.6117040853882959,0.6052955866898269,0.10289712432830328,
C1,P2-lab (S7-out),11,425,0.8047058823529412,0.8038436073337063,0.24327779037647057,
C1_AdaBN,P2-lab (S7-out),11,425,0.7458823529411764,0.7220948296731651,0.21380506155294116,
C1_AdaBN_T3A,P2-lab (S7-out),11,425,0.7576470588235295,0.7525018401333495,0.30641246877647055,
C1_T3A,P2-lab (S7-out),11,425,0.8117647058823529,0.8101303457169609,0.3451192450823529,
C1_aug,P2-lab (S7-out),11,425,0.7764705882352941,0.7719848614650595,0.23451892065882354,
C1_lin,P2-lab (S7-out),11,425,0.8070588235294117,0.8058700430408471,0.15302275270588234,
C1_s43,P2-lab (S7-out),11,425,0.8,0.7990455010670406,0.2371347278117647,
C1_s6out,P2-living (S6-out),15,716,0.7430167597765364,0.6842280043231517,0.1717525471787709,
C1_s6out_aug,P2-living (S6-out),15,716,0.8156424581005587,0.8227314398709632,0.2242185374441341,
C1_sharplike,P2-lab (S7-out),11,425,0.5694117647058824,0.5434429601356511,0.1869414725882353,
C2,P2-lab (S7-out),11,425,0.6470588235294118,0.6006464579144347,0.0704332151764706,
C2_lin,P2-lab (S7-out),11,425,0.72,0.7080428940780499,0.17299101152941174,
C2_s43,P2-lab (S7-out),11,425,0.6,0.5618149900546678,0.0668033988235294,
C3,P2-lab (S7-out),11,425,0.7270588235294118,0.7286021411880224,0.10708528981176471,
C3_ft,P2-lab (S7-out),11,425,0.72,0.7058609671701288,0.20550184903529414,
