trace_id,class,C1,C2,C1 - C2
S7a_H,H,0.6428571428571429,0.03571428571428571,0.6071428571428572
S7a_W,W,0.6545454545454545,0.21818181818181817,0.4363636363636364
S7a_S,S,0.6964285714285714,0.44642857142857145,0.24999999999999994
S7a_C,C,1.0,0.8392857142857143,0.1607142857142857
S7a_E,E,1.0,0.9056603773584906,0.09433962264150941
S7a_J2,J,1.0,1.0,0.0
S7a_L2,L,0.84,0.84,0.0
S7a_L1,L,0.92,0.96,-0.039999999999999925
S7a_J1,J,0.9285714285714286,1.0,-0.0714285714285714
S7a_J3,J,0.8666666666666667,1.0,-0.1333333333333333
S7a_R1,R,0.6727272727272727,0.9454545454545454,-0.2727272727272727
